"1969/01/20","","Day","01/20/1969: Nixon is sworn into office as the thirty-seventh P…","Nixon is sworn into office as the thirty-seventh President of the United States.","Richard Nixon"
"1969/02/23","","Day","02/23/1969: Nixon begins an eight-day European visit in Brusse…","Nixon begins an eight-day European visit in Brussels. ","Richard Nixon"
"1969/03/04","","Day","03/04/1969: Nixon warns that the United States will take actio…","Nixon warns that the United States will take action in the event of a new Viet Cong offensive. ","Richard Nixon"
"1969/04/18","","Day","04/18/1969: Following an attack on a U.S. plane on April 15, N…","Following an attack on a U.S. plane on April 15, Nixon orders that reconnaissance flights off of North Korea be resumed. ","Richard Nixon"
"1969/04/30","","Day","04/30/1969: Nixon asks that Congress be granted authority to c…","Nixon asks that Congress be granted authority to consolidate federal aid programs to states and cities. ","Richard Nixon"
"1969/05/14","","Day","05/14/1969: Nixon proposes a plan whereby the United States an…","Nixon proposes a plan whereby the United States and North Vietnam would agree to withdraw forces from South Vietnam. ","Richard Nixon"
"1969/05/27","","Day","05/27/1969: Nixon asks that Congress make the Post Office depa…","Nixon asks that Congress make the Post Office department a public corporation. ","Richard Nixon"
"1969/06/08","","Day","06/08/1969: Nixon announces a plan to withdraw 25,000 U.S. tro…","Nixon announces a plan to withdraw 25,000 U.S. troops from South Vietnam by August 31. ","Richard Nixon"
"1969/07/09","","Day","07/09/1969: Nixon orders cuts in overseas government personnel…","Nixon orders cuts in overseas government personnel by 10 percent. ","Richard Nixon"
"1969/07/25","","Day","07/25/1969: Nixon affirms his desire to withdraw U.S. troops f…","Nixon affirms his desire to withdraw U.S. troops from southeast Asia and declares that individual nations will bear a larger responsibility for their own security. Initially referred to as the “Guam Doctrine,” this statement later becomes known as the “Nixon Doctrine.” ","Richard Nixon"
"1969/08/08","","Day","08/08/1969: Nixon discloses his program for welfare reform, wh…","Nixon discloses his program for welfare reform, which includes the Family Assistance Plan. ","Richard Nixon"
"1969/10/31","","Day","10/31/1969: Nixon declares that Latin America must be responsi…","Nixon declares that Latin America must be responsible for its own social and economic progress. ","Richard Nixon"
"1969/11/03","","Day","11/03/1969: Nixon reveals that North Vietnam has rejected the …","Nixon reveals that North Vietnam has rejected the administration's secret peace offers. He proposes a plan for the gradual and secretive withdrawal of troops. ","Richard Nixon"
