"1841/03/04","","Day","03/04/1841: William Henry Harrison inaugurated as the ninth Pr…","William Henry Harrison inaugurated as the ninth President of the United States. ","William Harrison"
"1841/04/04","","Day","04/04/1841: Harrison dies of pneumonia only one month after hi…","Harrison dies of pneumonia only one month after his inauguration, making him the first President to die while in office.","William Harrison"
